"NSIM","system_failure_time","failed"
1,1242.23574953701,"C"
2,138.058269706772,"C"
3,501.152976390846,"C"
4,861.967649581321,"A y B"
5,330.034960884517,"A y B"
6,266.092319972813,"C"
7,164.863189701037,"A y B"
8,90.3742227506745,"C"
9,194.820440615686,"A y B"
10,828.29380221897,"A y B"
11,52.9238644056022,"C"
12,588.050300043948,"C"
13,57.3899395780356,"C"
14,532.226156604416,"C"
15,151.208314206451,"C"
16,604.35263009084,"C"
17,143.539744848385,"A y B"
18,105.815892770554,"C"
19,553.440627084279,"A y B"
20,166.15534266457,"A y B"
21,57.7149426564574,"C"
22,56.4304433763027,"C"
23,105.057750337313,"A y B"
24,423.186649915702,"C"
25,494.868541111179,"C"
26,366.964408289641,"C"
27,278.195751272142,"C"
28,478.077465084322,"C"
29,293.611735709236,"C"
30,305.351063981652,"C"
31,1014.34523793484,"C"
32,308.948024362326,"A y B"
33,12.5880843959749,"C"
34,383.804314848307,"A y B"
35,222.34061860271,"A y B"
36,433.633073020443,"C"
37,231.081609636267,"A y B"
38,149.214299675077,"A y B"
39,49.7261784039438,"C"
40,37.5392862510319,"A y B"
41,385.622416622937,"C"
42,132.261770700991,"C"
43,460.253661375025,"A y B"
44,351.62578447813,"A y B"
45,368.035609321669,"A y B"
46,82.1052686311305,"C"
47,170.155402086675,"A y B"
48,490.645014114066,"C"
49,246.067994545194,"A y B"
50,205.689616012605,"A y B"
51,166.002166830003,"C"
52,468.104977244155,"C"
53,46.0031605325639,"C"
54,404.618039075285,"C"
55,363.086215127259,"C"
56,56.3362932926427,"C"
57,441.432330359645,"C"
58,223.924621659902,"A y B"
59,766.449420776614,"A y B"
60,129.054027143866,"C"
61,148.65398677066,"C"
62,166.720580868423,"C"
63,1.69028821075299,"C"
64,1099.21725324432,"A y B"
65,142.660763114691,"C"
66,2051.69855736029,"A y B"
67,1143.6517339149,"A y B"
68,495.898333911724,"C"
69,493.058485771561,"A y B"
70,75.5185996910317,"C"
71,31.8629300455919,"C"
72,217.256870679557,"A y B"
73,63.7967587909739,"C"
74,598.772821736462,"C"
75,447.04766329857,"C"
76,816.488943579507,"A y B"
77,303.133013471961,"C"
78,769.557003758657,"A y B"
79,602.759084084487,"A y B"
80,358.880597075829,"A y B"
81,659.858301004691,"A y B"
82,206.87482142821,"C"
83,4.33507156477993,"C"
84,564.550981831677,"C"
85,464.782446225114,"C"
86,149.934200942516,"C"
87,721.863483164109,"A y B"
88,177.678995313667,"C"
89,274.540167255327,"A y B"
90,100.9890097344,"C"
91,5.97503101453185,"C"
92,54.790386557579,"C"
93,490.713449708521,"A y B"
94,350.801971787587,"A y B"
95,297.854628358948,"A y B"
96,138.693087827414,"C"
97,198.000853359204,"C"
98,493.31606853618,"A y B"
99,311.009541805834,"C"
100,4.3198149651289,"C"
